Rectangle rule:
end	steps	result	time
1.000000e+02	1.000000e+05	1.003928	1.574300e-03
1.000000e+02	1.000000e+06	0.991612	1.595080e-02
1.000000e+02	1.000000e+07	0.990682	1.594704e-01
1.000000e+02	1.000000e+08	0.989334	1.592148e+00
1.000000e+03	1.000000e+01	0.003756	1.400000e-06
1.000000e+03	1.000000e+02	0.148338	2.700000e-06
1.000000e+03	1.000000e+03	0.851907	1.680000e-05
1.000000e+03	1.000000e+04	1.128042	1.595000e-04
1.000000e+03	1.000000e+05	1.004649	1.559700e-03
1.000000e+03	1.000000e+06	0.995834	1.588990e-02
1.000000e+03	1.000000e+07	0.995750	1.584219e-01
1.000000e+03	1.000000e+08	0.996283	1.585762e+00
1.000000e+04	1.000000e+01	0.000377	1.300000e-06
1.000000e+04	1.000000e+02	0.016934	2.700000e-06
1.000000e+04	1.000000e+03	0.947479	1.680000e-05
1.000000e+04	1.000000e+04	0.550190	1.573000e-04
1.000000e+04	1.000000e+05	0.714476	1.582100e-03
1.000000e+04	1.000000e+06	0.951268	1.594170e-02
1.000000e+04	1.000000e+07	0.995372	1.558632e-01
1.000000e+04	1.000000e+08	0.993890	1.570828e+00
1.000000e+05	1.000000e+01	0.000038	1.300000e-06
1.000000e+05	1.000000e+02	0.001717	2.700000e-06
1.000000e+05	1.000000e+03	0.177460	1.630000e-05
1.000000e+05	1.000000e+04	0.082636	1.548000e-04
1.000000e+05	1.000000e+05	0.200072	1.551000e-03
1.000000e+05	1.000000e+06	0.707552	1.543680e-02
1.000000e+05	1.000000e+07	1.041948	1.544115e-01
1.000000e+05	1.000000e+08	1.011246	1.555999e+00
1.000000e+06	1.000000e+01	0.000004	2.200000e-06
1.000000e+06	1.000000e+02	0.000172	2.700000e-06
1.000000e+06	1.000000e+03	0.019143	1.980000e-05
1.000000e+06	1.000000e+04	0.008686	1.537000e-04
1.000000e+06	1.000000e+05	0.025674	1.554400e-03
1.000000e+06	1.000000e+06	0.283728	1.548840e-02
1.000000e+06	1.000000e+07	1.011239	1.566603e-01
1.000000e+06	1.000000e+08	1.007549	1.565463e+00
