i	autoc
1759	-0.114237
1760	-0.112526
1761	-0.110783
1762	-0.109009
1763	-0.107205
1764	-0.105372
1765	-0.103512
1766	-0.101624
1767	-0.099711
1768	-0.097774
1769	-0.095812
1770	-0.093828
1771	-0.091823
1772	-0.089797
1773	-0.087752
1774	-0.085688
1775	-0.083607
1776	-0.081510
1777	-0.079398
1778	-0.077271
1779	-0.075132
1780	-0.072981
1781	-0.070819
1782	-0.068647
1783	-0.066466
1784	-0.064278
1785	-0.062083
1786	-0.059883
1787	-0.057678
1788	-0.055469
1789	-0.053258
1790	-0.051046
1791	-0.048833
1792	-0.046621
1793	-0.044410
1794	-0.042202
1795	-0.039997
1796	-0.037797
1797	-0.035603
1798	-0.033415
1799	-0.031234
1800	-0.029062
1801	-0.026899
1802	-0.024746
1803	-0.022604
1804	-0.020474
1805	-0.018357
1806	-0.016254
1807	-0.014165
1808	-0.012092
1809	-0.010035
1810	-0.007995
1811	-0.005973
1812	-0.003969
1813	-0.001985
1814	-0.000021
1815	0.001923
1816	0.003845
1817	0.005744
1818	0.007621
1819	0.009474
1820	0.011303
1821	0.013107
1822	0.014885
1823	0.016638
1824	0.018364
1825	0.020062
1826	0.021733
1827	0.023376
1828	0.024989
1829	0.026574
1830	0.028129
1831	0.029654
1832	0.031148
1833	0.032611
1834	0.034043
1835	0.035443
1836	0.036810
1837	0.038146
1838	0.039449
1839	0.040718
1840	0.041955
1841	0.043158
1842	0.044327
1843	0.045462
1844	0.046562
1845	0.047629
1846	0.048661
1847	0.049658
1848	0.050621
1849	0.051548
1850	0.052441
1851	0.053299
1852	0.054121
1853	0.054909
1854	0.055662
1855	0.056379
1856	0.057062
1857	0.057709
1858	0.058322
1859	0.058900
1860	0.059443
1861	0.059952
1862	0.060426
1863	0.060867
1864	0.061273
1865	0.061645
1866	0.061984
1867	0.062289
1868	0.062561
1869	0.062800
1870	0.063007
1871	0.063181
1872	0.063323
1873	0.063433
1874	0.063513
1875	0.063561
1876	0.063578
1877	0.063566
1878	0.063523
1879	0.063451
1880	0.063350
1881	0.063221
1882	0.063063
1883	0.062878
1884	0.062665
1885	0.062426
1886	0.062160
1887	0.061869
1888	0.061552
1889	0.061211
1890	0.060846
1891	0.060457
1892	0.060045
1893	0.059610
1894	0.059153
1895	0.058675
1896	0.058177
1897	0.057658
1898	0.057119
1899	0.056561
1900	0.055985
1901	0.055391
1902	0.054780
1903	0.054153
1904	0.053509
1905	0.052850
1906	0.052176
1907	0.051489
1908	0.050787
1909	0.050073
1910	0.049347
1911	0.048610
1912	0.047861
1913	0.047102
1914	0.046334
1915	0.045557
1916	0.044771
1917	0.043978
1918	0.043177
1919	0.042371
1920	0.041558
1921	0.040740
1922	0.039918
1923	0.039092
1924	0.038262
1925	0.037430
1926	0.036596
1927	0.035761
1928	0.034924
1929	0.034088
1930	0.033251
1931	0.032416
1932	0.031582
1933	0.030750
1934	0.029921
1935	0.029095
1936	0.028273
1937	0.027455
1938	0.026642
1939	0.025834
1940	0.025032
1941	0.024236
1942	0.023447
1943	0.022666
1944	0.021892
1945	0.021126
1946	0.020370
1947	0.019622
1948	0.018884
1949	0.018156
1950	0.017438
1951	0.016731
1952	0.016036
1953	0.015352
1954	0.014679
1955	0.014019
1956	0.013372
1957	0.012738
1958	0.012117
1959	0.011509
1960	0.010915
1961	0.010335
1962	0.009770
1963	0.009219
1964	0.008683
1965	0.008162
1966	0.007656
1967	0.007166
1968	0.006691
1969	0.006232
1970	0.005788
1971	0.005361
1972	0.004950
1973	0.004555
1974	0.004176
1975	0.003814
1976	0.003468
1977	0.003139
1978	0.002826
1979	0.002530
1980	0.002250
1981	0.001986
1982	0.001739
1983	0.001509
1984	0.001295
1985	0.001097
1986	0.000916
1987	0.000750
1988	0.000601
1989	0.000468
1990	0.000350
1991	0.000248
1992	0.000161
1993	0.000090
1994	0.000033
1995	-0.000008
1996	-0.000035
1997	-0.000047
1998	-0.000045
1999	-0.000029
