i	autoc
428	-0.502531
429	-0.514252
430	-0.525753
431	-0.537030
432	-0.548078
433	-0.558893
434	-0.569470
435	-0.579807
436	-0.589899
437	-0.599743
438	-0.609335
439	-0.618670
440	-0.627747
441	-0.636562
442	-0.645110
443	-0.653391
444	-0.661399
445	-0.669133
446	-0.676590
447	-0.683766
448	-0.690661
449	-0.697270
450	-0.703593
451	-0.709626
452	-0.715367
453	-0.720816
454	-0.725969
455	-0.730826
456	-0.735384
457	-0.739643
458	-0.743600
459	-0.747255
460	-0.750607
461	-0.753654
462	-0.756396
463	-0.758833
464	-0.760963
465	-0.762786
466	-0.764301
467	-0.765509
468	-0.766410
469	-0.767003
470	-0.767289
471	-0.767268
472	-0.766940
473	-0.766306
474	-0.765366
475	-0.764122
476	-0.762574
477	-0.760723
478	-0.758570
479	-0.756117
480	-0.753365
481	-0.750315
482	-0.746970
483	-0.743330
484	-0.739398
485	-0.735175
486	-0.730664
487	-0.725867
488	-0.720786
489	-0.715424
490	-0.709783
491	-0.703865
492	-0.697674
493	-0.691212
494	-0.684482
495	-0.677488
496	-0.670232
497	-0.662718
498	-0.654948
499	-0.646928
500	-0.638659
501	-0.630146
502	-0.621392
503	-0.612402
504	-0.603178
505	-0.593726
506	-0.584049
507	-0.574152
508	-0.564038
509	-0.553712
510	-0.543179
511	-0.532443
512	-0.521508
513	-0.510379
514	-0.499062
515	-0.487560
516	-0.475878
517	-0.464022
518	-0.451997
519	-0.439807
520	-0.427458
521	-0.414954
522	-0.402302
523	-0.389505
524	-0.376571
525	-0.363503
526	-0.350308
527	-0.336990
528	-0.323556
529	-0.310011
530	-0.296361
531	-0.282610
532	-0.268765
533	-0.254832
534	-0.240816
535	-0.226723
536	-0.212558
537	-0.198328
538	-0.184038
539	-0.169694
540	-0.155302
541	-0.140868
542	-0.126397
543	-0.111896
544	-0.097369
545	-0.082824
546	-0.068266
547	-0.053701
548	-0.039135
549	-0.024573
550	-0.010021
551	0.004514
552	0.019028
553	0.033514
554	0.047966
555	0.062378
556	0.076746
557	0.091063
558	0.105324
559	0.119522
560	0.133653
561	0.147710
562	0.161689
563	0.175583
564	0.189388
565	0.203098
566	0.216707
567	0.230210
568	0.243602
569	0.256877
570	0.270032
571	0.283059
572	0.295955
573	0.308714
574	0.321332
575	0.333803
576	0.346123
577	0.358286
578	0.370290
579	0.382127
580	0.393796
581	0.405289
582	0.416605
583	0.427737
584	0.438683
585	0.449437
586	0.459996
587	0.470355
588	0.480512
589	0.490461
590	0.500200
591	0.509725
592	0.519032
593	0.528118
594	0.536979
595	0.545613
596	0.554015
597	0.562184
598	0.570116
599	0.577808
600	0.585257
601	0.592462
602	0.599418
603	0.606125
604	0.612579
605	0.618779
606	0.624721
607	0.630405
608	0.635828
609	0.640988
610	0.645884
611	0.650515
612	0.654878
613	0.658972
614	0.662796
615	0.666349
616	0.669630
617	0.672638
618	0.675372
619	0.677831
620	0.680015
621	0.681923
622	0.683556
623	0.684912
624	0.685991
625	0.686794
626	0.687321
627	0.687571
628	0.687545
629	0.687244
630	0.686667
631	0.685817
632	0.684692
633	0.683295
634	0.681626
635	0.679686
636	0.677476
637	0.674998
638	0.672253
639	0.669242
640	0.665968
641	0.662431
642	0.658634
643	0.654578
644	0.650266
645	0.645700
646	0.640881
647	0.635812
648	0.630496
649	0.624934
650	0.619131
651	0.613087
652	0.606807
653	0.600292
654	0.593546
655	0.586572
656	0.579374
657	0.571953
658	0.564314
659	0.556460
660	0.548394
661	0.540120
662	0.531642
663	0.522963
664	0.514087
665	0.505018
666	0.495760
667	0.486316
668	0.476692
669	0.466890
670	0.456916
671	0.446773
672	0.436466
673	0.425999
674	0.415377
675	0.404603
676	0.393684
677	0.382622
678	0.371424
679	0.360093
680	0.348635
681	0.337053
682	0.325354
683	0.313541
684	0.301620
685	0.289596
686	0.277473
687	0.265257
688	0.252953
689	0.240566
690	0.228100
691	0.215562
692	0.202955
693	0.190286
694	0.177560
695	0.164781
696	0.151955
697	0.139087
698	0.126182
699	0.113246
700	0.100284
701	0.087301
702	0.074302
703	0.061293
704	0.048278
705	0.035263
706	0.022254
707	0.009255
708	-0.003728
709	-0.016690
710	-0.029627
711	-0.042532
712	-0.055401
713	-0.068229
714	-0.081010
715	-0.093739
716	-0.106412
717	-0.119024
718	-0.131569
719	-0.144042
720	-0.156439
721	-0.168755
722	-0.180985
723	-0.193124
724	-0.205167
725	-0.217110
726	-0.228949
727	-0.240677
728	-0.252292
729	-0.263789
730	-0.275162
731	-0.286408
732	-0.297522
733	-0.308501
734	-0.319339
735	-0.330034
736	-0.340580
737	-0.350973
738	-0.361211
739	-0.371288
740	-0.381202
741	-0.390948
742	-0.400523
743	-0.409923
744	-0.419144
745	-0.428184
746	-0.437039
747	-0.445705
748	-0.454180
749	-0.462460
750	-0.470543
751	-0.478425
752	-0.486103
753	-0.493575
754	-0.500839
755	-0.507891
756	-0.514729
757	-0.521350
758	-0.527753
759	-0.533935
760	-0.539894
761	-0.545628
762	-0.551135
763	-0.556413
764	-0.561461
765	-0.566276
766	-0.570857
767	-0.575203
768	-0.579313
769	-0.583184
770	-0.586816
771	-0.590208
772	-0.593359
773	-0.596268
774	-0.598934
775	-0.601356
776	-0.603534
777	-0.605468
778	-0.607157
779	-0.608601
780	-0.609799
781	-0.610751
782	-0.611458
783	-0.611920
784	-0.612137
785	-0.612108
786	-0.611835
787	-0.611319
788	-0.610559
789	-0.609556
790	-0.608311
791	-0.606826
792	-0.605100
793	-0.603136
794	-0.600934
795	-0.598495
796	-0.595822
797	-0.592914
798	-0.589775
799	-0.586405
800	-0.582807
801	-0.578982
802	-0.574932
803	-0.570659
804	-0.566165
805	-0.561452
806	-0.556523
807	-0.551380
808	-0.546025
809	-0.540461
810	-0.534690
811	-0.528715
812	-0.522539
813	-0.516165
814	-0.509595
815	-0.502833
816	-0.495881
817	-0.488743
818	-0.481421
819	-0.473920
820	-0.466242
821	-0.458390
822	-0.450369
823	-0.442181
824	-0.433831
825	-0.425322
826	-0.416657
827	-0.407840
828	-0.398876
829	-0.389767
