0;	1.000000e-02;	-9.550620825370399e-04,	-9.550939208051091e-06;	9.550939184172561e-06,	-9.550620825370404e-04;
1;	1.000000e-02;	9.989949383340857e-01,	9.990282411624859e-03;	-9.990282386647922e-03,	9.989949383340857e-01;
2;	1.000000e-02;	9.322896638987025e-01,	9.323207430178303e-03;	-9.323207406869866e-03,	9.322896638987026e-01;
0;	2.000000e-02;	-9.549188220306291e-04,	-1.910092333013967e-05;	1.910092328237784e-05,	-9.549188220306300e-04;
1;	2.000000e-02;	9.988450878443800e-01,	1.997956580333294e-02;	-1.997956575337409e-02,	9.988450878443795e-01;
2;	2.000000e-02;	9.321498192835568e-01,	1.864548254738212e-02;	-1.864548250076067e-02,	9.321498192835580e-01;
0;	3.000000e-02;	-9.546800704376987e-04,	-2.864899737581103e-05;	2.864899730415632e-05,	-9.546800704376999e-04;
1;	3.000000e-02;	9.985953536781746e-01,	2.996685125510859e-02;	-2.996685118015784e-02,	9.985953536781738e-01;
2;	3.000000e-02;	9.319167604631952e-01,	2.796589313186751e-02;	-2.796589306192380e-02,	9.319167604631966e-01;
0;	4.000000e-02;	-9.543458516332092e-04,	-3.819420654561651e-05;	3.819420645005468e-05,	-9.543458516332109e-04;
1;	4.000000e-02;	9.982457608086784e-01,	3.995114004672855e-02;	-3.995113994677090e-02,	9.982457608086786e-01;
2;	4.000000e-02;	9.315905107433043e-01,	3.728350715034223e-02;	-3.728350705706215e-02,	9.315905107433051e-01;
0;	5.000000e-02;	-9.539161990387628e-04,	-4.773559632659268e-05;	4.773559620710461e-05,	-9.539161990387680e-04;
1;	5.000000e-02;	9.977963441948874e-01,	4.993143375763303e-02;	-4.993143363264861e-02,	9.977963441948902e-01;
2;	5.000000e-02;	9.311711027485854e-01,	4.659739284916829e-02;	-4.659739273253327e-02,	9.311711027485867e-01;
0;	6.000000e-02;	-9.533911556192616e-04,	-5.727221258771177e-05;	5.727221244427363e-05,	-9.533911556192714e-04;
1;	6.000000e-02;	9.972471487780888e-01,	5.990673436676701e-02;	-5.990673421673085e-02,	9.972471487780961e-01;
2;	6.000000e-02;	9.306585784194878e-01,	5.590661884753663e-02;	-5.590661870752347e-02,	9.306585784194930e-01;
0;	7.000000e-02;	-9.527707738786109e-04,	-6.680310167529412e-05;	6.680310150787738e-05,	-9.527707738786277e-04;
1;	7.000000e-02;	9.965982294773680e-01,	6.987604435238157e-02;	-6.987604417726388e-02,	9.965982294773809e-01;
2;	7.000000e-02;	9.300529890080179e-01,	6.521025423060432e-02;	-6.521025406718520e-02,	9.300529890080302e-01;
0;	8.000000e-02;	-9.520551158544673e-04,	-7.632731050837249e-05;	7.632731031694394e-05,	-9.520551158544940e-04;
1;	8.000000e-02;	9.958496511841137e-01,	7.983836679178495e-02;	-7.983836659155101e-02,	9.958496511841363e-01;
2;	8.000000e-02;	9.293543950726132e-01,	7.450736864258534e-02;	-7.450736845572785e-02,	9.293543950726357e-01;
0;	9.000000e-02;	-9.512442531120377e-04,	-8.584388667399974e-05;	8.584388645852160e-05,	-9.512442531120797e-04;
1;	9.000000e-02;	9.950014887555320e-01,	8.979270546103445e-02;	-8.979270523564459e-02,	9.950014887555713e-01;
2;	9.000000e-02;	9.285628664720854e-01,	8.379703237978532e-02;	-8.379703216945231e-02,	9.285628664721219e-01;
0;	1.000000e-01;	-9.503382667369210e-04,	-9.535187852248907e-05;	9.535187828291867e-05,	-9.503382667369835e-04;
1;	1.000000e-01;	9.940538270071596e-01,	9.973806493455770e-02;	-9.973806468396725e-02,	9.940538270072204e-01;
2;	1.000000e-01;	9.276784823586357e-01,	9.307831648357119e-02;	-9.307831624972097e-02,	9.276784823586922e-01;
0;	1.100000e-01;	-9.493372473270013e-04,	-1.048503352625782e-04;	1.048503349988683e-04,	-9.493372473270912e-04;
1;	1.100000e-01;	9.930067607043832e-01,	1.096734506846944e-01;	-1.096734504088539e-01,	9.930067607044726e-01;
2;	1.100000e-01;	9.267013311699388e-01,	1.023502928332664e-01;	-1.023502925758531e-01,	9.267013311700226e-01;
0;	1.200000e-01;	-9.482412949833859e-04,	-1.143383070565078e-04;	1.143383067686066e-04,	-9.482412949835123e-04;
1;	1.200000e-01;	9.918603945529610e-01,	1.195978691811481e-01;	-1.195978688800036e-01,	9.918603945530884e-01;
2;	1.200000e-01;	9.256315106203006e-01,	1.116120342389618e-01;	-1.116120339579349e-01,	9.256315106204199e-01;
0;	1.300000e-01;	-9.470505193003970e-04,	-1.238148451150045e-04;	1.238148448028556e-04,	-9.470505193005690e-04;
1;	1.300000e-01;	9.906148431885543e-01,	1.295103279903390e-01;	-1.295103276638316e-01,	9.906148431887308e-01;
2;	1.300000e-01;	9.244691276908856e-01,	1.208626145342344e-01;	-1.208626142295387e-01,	9.244691276910497e-01;
0;	1.400000e-01;	-9.457650393546107e-04,	-1.332790017921588e-04;	1.332790014557016e-04,	-9.457650393548428e-04;
1;	1.400000e-01;	9.892702311652615e-01,	1.394098358746458e-01;	-1.394098355227119e-01,	9.892702311654986e-01;
2;	1.400000e-01;	9.232142986190187e-01,	1.301011086687626e-01;	-1.301011083403390e-01,	9.232142986192390e-01;
0;	1.500000e-01;	-9.443849836929522e-04,	-1.427298306801890e-04;	1.427298303193583e-04,	-9.443849836932567e-04;
1;	1.500000e-01;	9.878266929431661e-01,	1.492954028915288e-01;	-1.492954025141000e-01,	9.878266929434796e-01;
2;	1.500000e-01;	9.218671488865623e-01,	1.393265928008313e-01;	-1.393265924486160e-01,	9.218671488868528e-01;
0;	1.600000e-01;	-9.429104903198385e-04,	-1.521663867040818e-04;	1.521663863188073e-04,	-9.429104903202307e-04;
1;	1.600000e-01;	9.862843728748887e-01,	1.591660404925240e-01;	-1.591660400895273e-01,	9.862843728752951e-01;
2;	1.600000e-01;	9.204278132073684e-01,	1.485381443897147e-01;	-1.485381440136394e-01,	9.204278132077447e-01;
0;	1.700000e-01;	-9.413417066833795e-04,	-1.615877262160978e-04;	1.615877258063057e-04,	-9.413417066838769e-04;
1;	1.700000e-01;	9.846434251911520e-01,	1.690207616220962e-01;	-1.690207611934540e-01,	9.846434251916686e-01;
2;	1.700000e-01;	9.188964355138061e-01,	1.577348422879294e-01;	-1.577348418879218e-01,	9.188964355142868e-01;
0;	1.800000e-01;	-9.396787896606328e-04,	-1.709929070901366e-04;	1.709929066557485e-04,	-9.396787896612571e-04;
1;	1.800000e-01;	9.829040139853583e-01,	1.788585808163441e-01;	-1.788585803619742e-01,	9.829040139860087e-01;
2;	1.800000e-01;	9.172731689423704e-01,	1.669157668333493e-01;	-1.669157664093327e-01,	9.172731689429751e-01;
0;	1.900000e-01;	-9.379219055419165e-04,	-1.803809888159477e-04;	1.803809883568806e-04,	-9.379219055426908e-04;
1;	1.900000e-01;	9.810663131971804e-01,	1.886785143015458e-01;	-1.886785138213622e-01,	9.810663131979862e-01;
2;	1.900000e-01;	9.155581758183668e-01,	1.760799999411699e-01;	-1.760799994930638e-01,	9.155581758191181e-01;
0;	2.000000e-01;	-9.360712300141785e-04,	-1.897510325931816e-04;	1.897510321093489e-04,	-9.360712300151296e-04;
1;	2.000000e-01;	9.791305065951659e-01,	1.984795800925359e-01;	-1.984795795864473e-01,	9.791305065961562e-01;
2;	2.000000e-01;	9.137516276396804e-01,	1.852266251957169e-01;	-1.852266247234362e-01,	9.137516276406028e-01;
